Id;CalculationDate;Variable;Value
13660;2019-08-25;PredictionOfOrdersValue;83794136
13684;2019-08-26;TurnoverRealization;1.171026945
13759;2019-08-26;PredictionOfOrdersValue;83770576
13783;2019-08-27;TurnoverRealization;1.169068217
13858;2019-08-27;PredictionOfOrdersValue;83928904
13882;2019-08-28;TurnoverRealization;1.198697209
13957;2019-08-28;PredictionOfOrdersValue;84826896
13981;2019-08-29;TurnoverRealization;1.200088143
14056;2019-08-29;PredictionOfOrdersValue;85921480
14080;2019-08-30;TurnoverRealization;1.196518898
14155;2019-08-30;PredictionOfOrdersValue;86421056
14179;2019-08-31;TurnoverRealization;1.201114655
14254;2019-08-31;PredictionOfOrdersValue;86414400
14278;2019-09-01;TurnoverRealization;1.195291281
14353;2019-09-01;PredictionOfOrdersValue;86414400
14377;2019-09-02;TurnoverRealization;1.189524174
14452;2019-09-02;PredictionOfOrdersValue;86414400
14477;2019-09-03;TurnoverRealization;1.217879534
14552;2019-09-03;PredictionOfOrdersValue;86109896
14577;2019-09-04;TurnoverRealization;1.215045333
14651;2019-09-04;PredictionOfOrdersValue;86475072
14676;2019-09-05;TurnoverRealization;1.204210758
14750;2019-09-05;PredictionOfOrdersValue;86210176
14775;2019-09-06;TurnoverRealization;1.205954909
14849;2019-09-06;PredictionOfOrdersValue;86249344
14874;2019-09-07;TurnoverRealization;1.205261827
14948;2019-09-07;PredictionOfOrdersValue;86215568
14973;2019-09-08;TurnoverRealization;1.199610114
15047;2019-09-08;PredictionOfOrdersValue;86214736
15072;2019-09-09;TurnoverRealization;1.194011211
15146;2019-09-09;PredictionOfOrdersValue;86214736
15171;2019-09-10;TurnoverRealization;1.190436363
15245;2019-09-10;PredictionOfOrdersValue;86474480
15270;2019-09-11;TurnoverRealization;1.189733028
15344;2019-09-11;PredictionOfOrdersValue;87162976
15369;2019-09-12;TurnoverRealization;1.186581492
15443;2019-09-12;PredictionOfOrdersValue;87004464
15468;2019-09-13;TurnoverRealization;1.185266376
15542;2019-09-13;PredictionOfOrdersValue;87007240
15567;2019-09-14;TurnoverRealization;1.189083576
15641;2019-09-14;PredictionOfOrdersValue;86325712
15666;2019-09-15;TurnoverRealization;1.183684945
15740;2019-09-15;PredictionOfOrdersValue;86325712
15765;2019-09-16;TurnoverRealization;1.178335071
15839;2019-09-16;PredictionOfOrdersValue;86325712
15864;2019-09-17;TurnoverRealization;1.188479185
15938;2019-09-17;PredictionOfOrdersValue;87038336
15963;2019-09-18;TurnoverRealization;1.187999964
16037;2019-09-18;PredictionOfOrdersValue;85909744
16062;2019-09-19;TurnoverRealization;1.186902165
16136;2019-09-19;PredictionOfOrdersValue;84844000
16161;2019-09-20;TurnoverRealization;1.181632996
16235;2019-09-20;PredictionOfOrdersValue;84873616
16260;2019-09-22;TurnoverRealization;1.171234012
16336;2019-09-22;PredictionOfOrdersValue;84865552
16361;2019-09-23;TurnoverRealization;1.166102886
16436;2019-09-23;PredictionOfOrdersValue;84865552
16461;2019-09-24;TurnoverRealization;1.169769883
16536;2019-09-24;PredictionOfOrdersValue;85119584
16561;2019-09-25;TurnoverRealization;1.171502829
16636;2019-09-25;PredictionOfOrdersValue;84809216
16661;2019-09-26;TurnoverRealization;1.173112035
16736;2019-09-26;PredictionOfOrdersValue;84972672
16761;2019-09-27;TurnoverRealization;1.183902979
16836;2019-09-27;PredictionOfOrdersValue;41688420
16861;2019-09-28;TurnoverRealization;1.194693565
16936;2019-09-28;PredictionOfOrdersValue;84159208
16961;2019-09-29;TurnoverRealization;1.189593792
17036;2019-09-29;PredictionOfOrdersValue;84159208
17061;2019-09-30;TurnoverRealization;1.184537172
17136;2019-09-30;PredictionOfOrdersValue;84159208
17161;2019-10-01;TurnoverRealization;1.193396211
17236;2019-10-01;PredictionOfOrdersValue;85767384
17262;2019-10-02;TurnoverRealization;1.189669371
17336;2019-10-02;PredictionOfOrdersValue;85656464
17362;2019-10-03;TurnoverRealization;1.191465497
17436;2019-10-03;PredictionOfOrdersValue;85431336
17462;2019-10-04;TurnoverRealization;1.195757866
17536;2019-10-04;PredictionOfOrdersValue;85124024
17562;2019-10-05;TurnoverRealization;1.196080446
17636;2019-10-05;PredictionOfOrdersValue;85057360
